title,abuseReported,rating,location_,userid,productid,reviewDate,reviewBody,helpfulCount
nihil deserunt dolore,false,2,Cyprus,92556,585473,2021-01-04,Quos dolorem minima ratione magni ex nam. Saepe rerum libero ullam ut ex consequatur quae sint doloremque. Perferendis unde adipisci exercitationem quibusdam culpa. Impedit quis ea minima quia ut molestiae est.,1004
neque totam sed,true,3,Puerto Rico,931920,457477,2020-12-02,Labore et harum soluta. Voluptates cum saepe. Fuga id fugiat sit.,1574
dolor voluptas ab,false,4,Uzbekistan,820155,824537,2020-08-27,Ipsam optio dolorem repudiandae vitae consequatur iste maxime totam. Perferendis consequatur et repellat dignissimos cumque molestias. Natus sit sint optio vitae. Reprehenderit vitae et vero est quidem qui quis. Et ut qui et quod sit magnam distinctio excepturi natus.,705
porro architecto voluptatibus,false,5,Bulgaria,42666,497809,2020-11-24,Excepturi culpa ut. Ea ut perferendis aspernatur id. Minus voluptas rerum odit et. Aperiam blanditiis soluta. Soluta tenetur doloribus consequuntur. Ducimus repellat dolorum non dolores velit voluptas velit tempore est.,123
ut velit inventore,true,1,Uganda,907215,710176,2020-12-11,Qui veritatis in consectetur et doloremque. Expedita doloribus voluptas dignissimos et molestias et quam. Necessitatibus voluptatem velit.,307
inventore quae sed,false,5,Uruguay,214335,619343,2020-07-09,Voluptates itaque at. Ut eos vitae ut. Voluptas iure iste illum est ex. Ut ab qui ad et sunt odio sint accusamus cum.,1633
provident mollitia quae,false,4,Niue,461639,302037,2021-04-22,Itaque tenetur quo vel sequi adipisci eveniet. Ea aspernatur dolor aliquam exercitationem. Qui aut iste nam consequuntur. Sed aut beatae rerum eaque optio ducimus aut tenetur ipsa.,1931
magni odit iure,true,4,Colombia,492904,565008,2020-11-28,Odit eos facilis alias error ut voluptate deleniti explicabo aliquam. Non ut vitae. Repellendus enim et maxime.,1701
inventore minima nobis,false,3,Venezuela,735120,514249,2020-09-04,Corrupti illum aliquam. Perspiciatis id dolorum qui nostrum inventore veniam. Eius et eligendi ut. Voluptates facilis ut.,90
omnis aut amet,false,5,Tokelau,769881,322163,2020-12-05,Eligendi voluptates et iste voluptatum possimus. Et temporibus minima. Ipsum qui ut est distinctio itaque nesciunt. Et consequuntur consequatur.,1781
et ad natus,false,0,Guatemala,445453,54606,2020-12-12,Iure eius corporis explicabo odit. Suscipit non autem et non ut. Explicabo praesentium qui voluptatem saepe. Qui quisquam vel asperiores velit et eius porro in delectus.,87
voluptas perspiciatis aspernatur,true,2,Madagascar,333176,424441,2020-11-04,Numquam sint magnam reprehenderit. Sequi non modi vitae. Et vitae qui. Recusandae repudiandae nesciunt deleniti sint dignissimos et corporis sint magni. Debitis ut aliquid sint laboriosam doloribus quod aut. Voluptatum natus facilis voluptatem minus magni expedita.,850
est veritatis sint,true,1,Guyana,913804,874537,2021-03-19,Voluptatem alias quo dicta similique et. Magnam quae numquam eum voluptas error. Officia commodi quia assumenda. Doloremque tenetur minima consequatur veritatis porro praesentium. Voluptatem architecto autem nihil labore quibusdam.,1821
nihil aut aut,false,1,Martinique,240644,439130,2020-08-16,Iure debitis necessitatibus culpa. Dolores molestias nihil provident. Dolore assumenda qui ut facere et et error. Similique enim explicabo sit et rem cupiditate.,859
voluptatem voluptatibus beatae,true,0,Dominican Republic,219029,499228,2021-02-17,Autem eum nulla distinctio placeat tempora harum qui sed. Aspernatur eum molestiae sed sunt accusamus aut non. Dolor neque iste laboriosam aut sed corporis in nesciunt libero. Quam saepe in repellat. Vitae reprehenderit voluptates sint voluptas quo. Magnam labore amet modi tenetur.,807
quia magnam animi,true,0,Vietnam,62954,892188,2021-03-02,Sed tenetur repellendus veritatis ipsa. Repudiandae illo atque aperiam et nihil ducimus fugiat. Veritatis consequatur accusantium. Enim dolorem eum dolor delectus. Repellendus sint enim. Ullam beatae provident deleniti consequatur similique quia porro.,773
modi ea voluptates,true,3,Kazakhstan,310258,498204,2020-09-14,Quasi voluptate id ratione. Deserunt omnis necessitatibus delectus et. Ducimus illum qui ullam fuga.,1162
omnis excepturi similique,true,4,Rwanda,207705,972507,2020-08-11,Expedita aspernatur consequuntur repellendus ad. Ut est qui ea ducimus. Eaque fuga quis.,1361
deleniti nulla rerum,true,1,Benin,326971,826574,2021-06-13,Nostrum perspiciatis et illo explicabo. Laboriosam ut soluta voluptatem sit. Est omnis eligendi et eius suscipit. Sint nemo quas eum consequatur eum ipsa reiciendis consectetur. Consequuntur officiis expedita at et.,1442
facilis aperiam iste,false,1,Syrian Arab Republic,139519,322175,2021-05-03,Incidunt cum aut. Repudiandae qui consectetur laborum et ut iste in quas qui. Dolores nostrum numquam dolorum alias iusto harum voluptas iusto tempora. Ullam amet quia odio et eligendi qui.,1551
exercitationem delectus rerum,false,0,Montenegro,544115,556596,2020-08-01,Officiis modi sed qui ducimus. Aspernatur nobis dolorem eum asperiores magni laborum. Quis necessitatibus quo ipsa id quod eos dignissimos. Unde veritatis nisi in natus temporibus.,1520
aut ducimus necessitatibus,false,5,Uruguay,309562,797163,2020-12-25,Enim officia nemo quia. Consequatur autem rerum nemo unde dicta nisi nihil. Et consequatur sequi sit.,178
tempore perferendis quos,false,2,Jersey,47223,989847,2020-10-11,Autem tempora repudiandae. Est consectetur ea dolorem enim voluptatem id. Culpa enim dolorem aperiam suscipit qui.,1267
beatae doloribus rerum,false,0,Suriname,866072,221059,2021-06-28,Aspernatur reprehenderit minus recusandae qui aliquam impedit. Quo doloribus illum amet ut. Qui esse culpa placeat corrupti. Nihil quia qui. Ut consequatur commodi aut nostrum expedita maxime neque necessitatibus.,566
dolorem ipsum dolores,true,5,Togo,862638,413337,2020-09-18,Esse voluptate expedita quis itaque adipisci repudiandae quia provident culpa. Corrupti in quisquam voluptatem quo voluptate eveniet nihil enim vel. Exercitationem laborum eum. Quaerat sint sit voluptas doloremque ipsum aut esse reprehenderit rerum. Officia ab ut non.,799
et omnis nihil,true,2,Qatar,65886,692707,2021-03-09,Velit natus eveniet dolores modi. Necessitatibus facere et accusantium et earum earum eveniet nostrum. Nisi doloremque iste et aliquid dolores corporis repudiandae dolores. Molestiae qui eligendi eum veritatis similique. Non qui et. Ut et consequatur.,385
aut et nam,true,5,Cyprus,121982,275819,2021-01-12,Necessitatibus nemo soluta dolorem id. Quasi eaque magni laboriosam magni eum ex et labore. Cum impedit vel eos. Qui dolor voluptas ea. Non corrupti sit assumenda aperiam dicta labore aperiam similique fugiat.,1886
ducimus id voluptas,false,0,Nepal,90851,591456,2020-08-08,Quaerat non nesciunt minus molestiae sit perspiciatis. Officia eos vitae occaecati nam quas. Quo expedita facilis non dignissimos quae temporibus officia deleniti aliquam. Vel voluptatem et sunt laudantium laborum qui beatae labore. Tempore qui ab ea repellat consequatur voluptatem quibusdam autem.,1113
omnis est praesentium,true,4,Suriname,167274,860727,2021-05-08,Hic quod in ratione ipsum perferendis blanditiis facilis accusamus aut. Fuga ut tenetur commodi. Numquam eum sunt voluptatum.,1276
consequatur cumque rerum,false,4,Rwanda,725157,349955,2020-11-09,Sunt molestias modi tempora ut. Necessitatibus rem odio expedita et hic ut eos nobis velit. Est soluta fugiat sapiente quasi. Vel quas est.,185
dolores architecto quisquam,false,5,Saint Vincent and the Grenadines,975611,400473,2021-02-06,Est est est ullam inventore ut omnis explicabo. Voluptas omnis ut est quisquam aspernatur labore cum. Rerum voluptate placeat ipsum est ex ratione. Consequatur aliquam asperiores dolorum itaque ipsum praesentium quibusdam vel et. Commodi omnis omnis necessitatibus maxime aut reiciendis harum sequi dolore.,1286
earum accusantium dolorum,false,1,Saint Barthelemy,214359,786613,2020-07-25,Voluptatem rerum error. Et voluptas voluptatem quod illo deleniti velit voluptates fugit quia. Beatae totam omnis consequatur voluptates nihil dolores aut aut libero. Eaque corporis sit aut magnam et possimus.,799
est necessitatibus aut,false,3,Egypt,586236,614586,2021-01-28,Ipsa sunt dolores ut esse ab. Atque atque architecto. Enim excepturi molestiae velit sit quasi.,817
quia sed nisi,true,0,Turkey,682274,360895,2020-12-06,Eaque similique est rem dolorum dolor porro et aspernatur voluptatem. Similique est ducimus voluptates ipsum. Aut aut nesciunt. Officiis molestias quo. Ut dolores exercitationem. Minima alias sequi officiis exercitationem laboriosam sit dolores accusamus.,1098
hic sunt architecto,true,0,United Kingdom,330645,908556,2020-09-28,Amet sequi labore. Voluptates fugit inventore non minus inventore atque ut. Et quidem occaecati. Ut voluptas dolorem aut. Rem eos vel soluta odio maxime fugiat. A nemo qui nesciunt et atque.,1490
consectetur et ut,false,3,Netherlands,993524,760036,2021-05-02,Sunt officiis ut voluptas nobis praesentium molestiae doloremque. Optio qui ea aspernatur ex nesciunt quam. Velit voluptas quisquam alias et et dolorem et sunt. Ea laudantium ut.,227
temporibus commodi omnis,true,4,Indonesia,810322,418959,2021-06-25,Repellendus fugit quibusdam rerum quisquam accusantium earum aut voluptates. Qui aperiam voluptas quas blanditiis nostrum sequi aut. Aut sed ipsum modi nemo nulla voluptatem velit. Exercitationem iusto rerum esse voluptates sint iure. Autem quo explicabo iusto eum velit quam aliquam rerum. Aut occaecati voluptate.,1846
explicabo veniam aliquid,false,4,Jordan,467811,472414,2020-07-17,Rerum in voluptatibus nihil et nihil facere sit sint. Suscipit architecto ut tenetur aperiam voluptas vero. Facilis libero id rerum perferendis quod quas ut. Modi cupiditate voluptas molestias ut molestias.,973
amet harum exercitationem,false,5,Virgin Islands U.S.,184467,987532,2021-04-29,Minus non quis iure aut. Et sit voluptas dolor quis quod eos error debitis. Ipsum nihil sapiente sed est illum vel omnis eum sed. Numquam doloremque veritatis quia.,1371
ut error recusandae,false,3,Antigua and Barbuda,740959,721535,2020-11-26,Ea ut quia ea ea veritatis non. Commodi consequuntur culpa et voluptatem occaecati qui. Perspiciatis eius quia voluptatibus dolorem et. Vitae saepe et corrupti pariatur et recusandae sit sed. Ducimus rem esse numquam saepe reprehenderit voluptatem et reiciendis veritatis.,228
quibusdam est blanditiis,false,0,Heard Island and McDonald Islands,493675,940246,2020-12-12,Aut in iste. Quisquam dolores aliquam. Dolores expedita voluptatibus reprehenderit tempore omnis totam ut fuga doloribus. Laborum voluptatem sunt facere iure quaerat aut. Iusto debitis aliquam et. Rerum quis laborum.,1786
nemo voluptates ipsum,false,3,Vanuatu,322273,395914,2021-04-17,Omnis sunt omnis eum nulla voluptatem. Perspiciatis aut tempora quod id dolore enim veniam est voluptas. Cum quaerat molestiae quia quia est aperiam praesentium. Qui pariatur omnis ut incidunt non commodi beatae. Ut et debitis. Maiores porro et deserunt et ex velit.,862
maiores sapiente ea,false,1,Suriname,835911,6533,2021-04-28,Iste aut laborum cumque illo repudiandae atque minima veritatis. Ullam et repellat. Aut perferendis illum quasi voluptas eum.,1141
ut non eos,true,1,Peru,500356,647518,2020-07-13,Atque laboriosam sit vitae aut consequatur aut illo facere. Hic accusantium quod. Quia molestias in et esse. Nemo reiciendis minus voluptatem sequi voluptate dolorem nisi unde.,980
rem accusantium quidem,false,4,Somalia,829550,103843,2020-09-27,Incidunt delectus fugiat et repellat est non cumque. Dicta perferendis eligendi iste quis. Ratione provident iure. Quibusdam ut eum eligendi impedit quo nam. Soluta voluptatem et in qui fugiat maiores. Consequatur at sit dolor.,775
modi accusantium itaque,false,5,Hungary,807010,514054,2021-04-12,Voluptas ex cumque consectetur rerum fuga similique aliquam magni. Sed rerum eos ea hic ut distinctio. Sunt quaerat ea aut voluptatibus debitis commodi autem nemo. Quia quas sapiente quidem et beatae magni autem rerum. Cupiditate qui sunt fugit dignissimos voluptate amet nihil rerum.,620
maxime ipsum modi,false,5,Afghanistan,674740,94933,2021-05-04,Architecto voluptas quo est ut. Nihil ea et ullam. Et commodi porro ipsam.,1439
et mollitia perferendis,false,3,Guyana,588788,420364,2020-10-24,Perspiciatis cumque laboriosam placeat sapiente beatae nisi qui consequatur. Aut hic doloribus est omnis ipsum eius. Dolores maxime voluptatem molestias expedita accusamus velit. Tempora provident dolorem est non ut eos perspiciatis. Nemo voluptas natus est maxime earum optio dolores eos velit. Inventore eveniet magnam aut rerum sint velit.,1151
dignissimos quibusdam incidunt,true,1,Belgium,402252,219413,2021-02-18,Neque fugit rerum optio voluptas. Possimus atque et voluptatum ullam qui molestias ut a perspiciatis. Magnam optio non. Et explicabo nihil amet eum soluta minima tempora.,1016
consequatur ut consequuntur,false,0,Democratic People's Republic of Korea,301553,819514,2021-01-23,Vel et eius dolor. Suscipit veniam rerum qui. Consequatur quibusdam cumque qui deserunt adipisci aut quo error nulla. Doloremque magni eveniet commodi. Ut dignissimos deserunt quam aut impedit non deserunt et quis.,1853
quaerat doloribus facere,false,4,Bermuda,299715,89522,2020-12-28,Et quidem illum veniam officia est cupiditate neque odio. Commodi possimus ea dolores eos qui quia. Autem deleniti ut ad et et. Odio magnam eum suscipit. Odit ipsam sit amet dicta deserunt eos quo. Eos excepturi dolores ipsa voluptas.,1196
quo et deleniti,true,0,Guyana,639009,801578,2020-08-24,Placeat saepe nesciunt repellat dignissimos ipsa possimus dolor. Et similique sint dolorem incidunt rem culpa et qui dolorem. Quia expedita nihil minima assumenda et. Commodi est alias velit necessitatibus vel animi. Nihil tenetur ipsum a porro. Est quibusdam inventore voluptas nihil fuga sequi quia minus quidem.,1225
omnis qui sunt,false,0,Venezuela,562211,495319,2020-08-10,Dolor officiis ad sint sed velit sapiente est. Ab voluptatem aut et. Voluptas neque et rerum et vitae officia. Illum qui ut voluptate nam et et at. Officiis voluptas deleniti.,66
et suscipit pariatur,true,2,Fiji,231649,243348,2020-12-30,Voluptate earum unde quaerat voluptate id aliquam quia amet suscipit. Facere distinctio sed aut cupiditate accusamus laudantium. Est voluptate totam eos ratione beatae perferendis et veritatis. Commodi architecto dolorum non alias illum est voluptatem odit perspiciatis. Error impedit ex rem aut totam provident autem.,542
illo veniam dolore,true,1,Guadeloupe,783649,2896,2021-05-25,Est facere dolorum aperiam. Dignissimos velit unde quod qui est et veritatis amet. Quia quis quis vel qui distinctio molestias ullam aut. Enim omnis aperiam optio est facilis et error eum. Voluptatum voluptatem odio quos sit molestiae doloribus maxime veniam est. Voluptatem quia blanditiis doloremque aut rerum.,1229
maxime aut facere,false,2,Sri Lanka,759775,282412,2021-06-05,Porro eos aut maxime rerum suscipit. Excepturi iure sit et officia omnis. Soluta officia inventore. Ut vel quae consectetur sint.,1183
ut officia veritatis,true,2,Montserrat,263770,50582,2021-04-05,Possimus iusto rem saepe. Dolorem impedit ut eum pariatur totam vel enim deserunt temporibus. Ea numquam ab rerum cupiditate tenetur et nostrum quas. Ex doloribus rerum consequatur asperiores repellendus voluptatem delectus. Incidunt libero dicta sequi minima molestiae repudiandae aut.,1749
deserunt incidunt repellendus,true,0,Saint Martin,129437,540178,2020-08-24,Neque quae consectetur omnis magni fugit voluptatem dolor illum dicta. Nulla magni nisi ullam nesciunt et molestiae et ea voluptatum. Dolorem ut ut aut sit praesentium voluptas quasi. Aliquam dolorem delectus minus sed doloremque quis omnis qui.,1350
molestiae suscipit qui,true,0,Saudi Arabia,899581,257911,2021-04-10,Non qui sit nostrum dolore ipsam voluptatum et. Provident quis quo impedit animi nobis quod. Doloribus odio ipsum quam suscipit impedit omnis eveniet et qui. At similique ad sint totam. Est magnam et fugiat. Cumque officiis et consectetur cum eum quo quis.,1251
in ab dolorum,true,2,Bolivia,976855,65592,2020-08-14,Asperiores sequi officia voluptas est cupiditate odit voluptatem. Placeat in quo sit vero nisi nostrum et. Consequuntur provident sed hic. Eveniet perferendis nemo voluptatem velit consequatur eius debitis. Aliquam modi rem dolores doloribus fugiat. Nobis deleniti iusto fugit.,1439
non culpa aliquam,false,3,Qatar,762311,183935,2021-04-17,Officia saepe ut rerum eum quo voluptates. Fugit in sed voluptatem optio atque ad cumque qui voluptas. Explicabo temporibus dignissimos sit ut sapiente laboriosam voluptatem. Fuga sequi ab nobis corrupti.,433
veniam perspiciatis est,false,1,Sweden,929271,187528,2020-07-23,Eius corporis quis voluptate deleniti voluptate ab laudantium. Ea sed quam autem esse sed. Modi et pariatur debitis et quod. Veritatis in deserunt praesentium deleniti. Quod alias reprehenderit aut iste.,1619
quod dicta dolore,false,0,Uganda,272132,809055,2020-12-05,Nostrum iure architecto autem. Rerum ad culpa exercitationem non iure aut. Et ducimus voluptatem provident. Beatae consequatur sit error velit molestiae sequi suscipit ducimus.,1316
recusandae et maxime,true,2,Timor-Leste,543424,285498,2020-11-22,Assumenda qui aut. Aut nihil eius eum nihil nihil eligendi. Ea eos nemo. Odio totam nam nesciunt. Qui maxime est non id quas omnis aliquid aut.,1459
soluta neque autem,true,1,Bahrain,303090,162801,2020-10-17,Voluptatem blanditiis molestiae voluptas omnis odit iure eos. Sapiente et quis dolorem sed ab eos. Deleniti necessitatibus omnis est nihil.,1100
eum voluptas aut,false,4,Benin,390088,431886,2020-10-29,Inventore dignissimos rem velit esse. Delectus pariatur qui dolores et non. Repellat quia adipisci rem autem ea. Cumque asperiores cum iusto culpa sapiente ex. Quibusdam sed reiciendis consequatur iure minima quia neque.,1047
itaque assumenda tenetur,true,4,Norway,739637,733764,2021-01-16,Nisi eveniet esse totam quibusdam neque voluptate. Nihil et sed voluptatem ullam non. Iure porro ut quia expedita pariatur. Aut assumenda quibusdam.,1890
nihil corrupti rerum,false,5,Holy See (Vatican City State),986572,50705,2021-04-25,Quas labore dolor facilis omnis quam magnam quo ut consequatur. Quaerat labore ut et consequatur maxime et in. Beatae in reprehenderit qui sequi. Aut quibusdam non voluptatum atque nisi laudantium eos praesentium consequuntur. Molestiae vero qui et adipisci atque eveniet quidem esse quidem.,1648
asperiores aspernatur aliquid,false,3,Azerbaijan,789516,655121,2020-12-22,Velit molestiae eaque alias ratione quaerat pariatur sint omnis et. Voluptas nihil doloribus deleniti deserunt dolores quasi et incidunt ea. Voluptatem totam autem reiciendis blanditiis optio velit ipsam quam. Labore recusandae voluptates dignissimos deleniti dolores amet vel. Tempora ad distinctio illo odio non dolorem est. Velit molestiae totam.,742
dolorem quia molestias,false,3,Palestinian Territory,340436,341886,2020-11-09,Voluptatem non possimus vitae officiis nulla et vitae similique similique. Laboriosam ab quos dolor repellendus laborum. Corporis ullam sit sit quas fuga minima. Reprehenderit minus in placeat delectus ut voluptatum. Nemo non id adipisci distinctio odio doloremque optio voluptatibus qui.,342
maxime quos ut,true,3,Bahamas,424269,912061,2020-11-17,Consequatur totam error et porro voluptatem suscipit. Repellat illum ea vel ea et cum dolores reprehenderit recusandae. Deserunt porro repudiandae vero enim sapiente.,325
nihil quia consequatur,false,5,Iran,864212,915563,2021-06-09,Quo numquam sunt ut consequatur adipisci est nostrum molestiae labore. Quia similique ut et debitis libero facere maiores maiores. Quo et a debitis aliquam qui qui quia et.,1170
iste consequuntur ratione,false,0,Kiribati,731446,877663,2020-07-23,Vero maiores molestiae. Aspernatur nobis debitis. Sit voluptatibus ea quia vel voluptates et et aperiam. Ut facilis rerum omnis. Ut corporis aut laborum rerum rerum tenetur quia facere rerum.,1386
laborum rerum et,true,1,Kuwait,810296,894771,2020-07-30,Laudantium et sint recusandae aperiam aliquid velit. Itaque eius quae et illum. Ullam culpa rem est qui perferendis quia doloremque. Dolorum architecto laborum. Cumque debitis ratione temporibus. Ullam ut cupiditate voluptatem dolor vel.,1034
aut tenetur qui,false,3,Antigua and Barbuda,976506,444165,2020-08-21,Dolorum consequatur rerum. Quia dolores autem repudiandae cupiditate sint. In repudiandae cum vitae.,1311
sint quibusdam dolore,true,4,Turkey,911959,118374,2021-06-21,Aperiam facere sunt quia corporis sapiente. Quae modi corporis quisquam recusandae qui enim. Et quia molestiae velit neque totam. Eum reprehenderit dolor ea nesciunt asperiores quia facilis ut veniam. Aut voluptatem exercitationem ipsam.,226
est recusandae illo,false,0,Sao Tome and Principe,306915,914297,2020-07-08,Doloremque rerum doloribus dolorem consequatur omnis distinctio a a. Error odit nostrum. Quia molestiae voluptatibus cumque eum ad aut voluptatibus.,1062
ut voluptatem minus,false,3,Nicaragua,920783,416538,2020-08-28,Quisquam voluptatibus ea sed voluptate omnis. Est veritatis voluptatem sed. Dolore maiores accusantium magnam. Unde veniam deserunt assumenda velit. Quaerat consequatur corporis et. Maiores voluptas dolor ipsam quaerat ipsam voluptatem iure.,920
voluptatem tempora qui,true,5,Egypt,71652,412385,2020-07-17,Rem nobis sit quia veniam unde dolor. Provident totam doloremque aliquam sed debitis saepe. Impedit ea eius aut deleniti itaque. Amet voluptatem id velit veritatis et voluptatem perferendis ex.,930
sed enim officiis,false,4,South Georgia and the South Sandwich Islands,452124,484333,2021-01-11,Praesentium et iusto iusto pariatur et sapiente laboriosam et. Consequatur dicta beatae exercitationem et earum. Inventore molestiae ut sint aspernatur. Nobis commodi ut itaque nihil ducimus autem in. Ut omnis qui sit ea et. Et et soluta quod.,1253
blanditiis nihil illum,true,4,Uzbekistan,474907,101866,2021-06-25,Ut fuga et dolores non ipsam et velit dolore. Nemo deleniti laborum et occaecati qui sed quibusdam. Vel quae occaecati dolores debitis aspernatur impedit.,792
ad dolore quo,true,4,Tonga,263315,177576,2021-02-17,Assumenda repudiandae quo eum. Ducimus inventore rerum nulla asperiores quae dolor. Ut ut ipsum excepturi eveniet. Minima eos repudiandae ratione voluptatum officia.,1223
sapiente recusandae voluptates,false,3,Cote d'Ivoire,528788,536032,2020-10-03,Voluptatem rerum voluptatem. Ad voluptates sed voluptas saepe unde animi est laboriosam esse. Facilis esse possimus ut pariatur quaerat. Repudiandae ullam ut fugit voluptatem.,702
quas enim harum,false,3,Saint Martin,573478,225477,2020-09-09,Exercitationem repudiandae eos quia fugiat non id voluptatem dolores cupiditate. Sequi ut quaerat et. Rerum provident minus beatae laboriosam culpa nostrum provident harum temporibus.,712
dolorum consequatur eius,true,3,Seychelles,676816,417647,2020-10-29,Placeat est quo expedita velit et nam perferendis. Laudantium et ad ea illo. Molestiae blanditiis explicabo quia nostrum velit voluptates enim accusamus enim. Vero qui exercitationem quis aut corporis iure labore. Velit voluptas veniam est. Rerum cum quis dolores laboriosam harum minima eligendi.,50
ut suscipit rerum,false,0,Seychelles,992581,808290,2021-05-17,Est placeat eaque dolor harum odio aspernatur. Iure necessitatibus assumenda quis aut. Maiores quos consequatur in ratione dignissimos.,1557
dolore consequatur atque,true,2,Sri Lanka,19518,124529,2021-05-22,Enim doloremque ut omnis. Dolorem consequatur necessitatibus odio quidem aut ratione et inventore. Aut assumenda ut. Rerum labore sit. Reiciendis distinctio eveniet. Odio fuga consequuntur.,325
consequatur beatae quaerat,true,4,Bahamas,286302,69610,2021-04-05,Omnis repellat qui autem facere consequatur. Nihil in ut cumque quod voluptatum voluptates veritatis autem. Sed qui incidunt accusamus voluptatem eos sed et magnam ut. Voluptatem aut magni aut quae. Accusamus amet dolorum asperiores facilis.,572
fuga qui sed,false,3,Cayman Islands,362910,871761,2020-07-12,Numquam minima reprehenderit. Nihil illo dolorem deleniti. Iure hic quidem rerum nulla. Et pariatur ut dolor tenetur doloribus ut id. Sunt reiciendis est delectus aut quo omnis.,656
